type,category,usage_rate,total_mentions,avg_per_text
interest,positive,0.38095238095238093,8,0.38095238095238093
interest,engagement,0.14285714285714285,3,0.14285714285714285
interest,learning,0.047619047619047616,1,0.047619047619047616
experiment,flame_reaction,0.5714285714285714,36,1.7142857142857142
experiment,recrystallization,0.38095238095238093,18,0.8571428571428571
experiment,general,0.6666666666666666,16,0.7619047619047619
