vocabulary_category,before_usage_rate,after_usage_rate,effect_size_cohens_d,p_value,significant,meaningful_effect,ci_lower,ci_upper
basic_food,0.6547619047619048,0.3894736842105263,-0.547362516826721,0.00041179577287010245,True,True,-0.4083209251063563,-0.12225551599640061
basic_salt,0.5119047619047619,0.3894736842105263,-0.2467441167358784,0.10143594688443441,False,True,-0.26931724841903926,0.02445509303056817
scientific,0.0,0.42105263157894735,1.1640549486364362,1.720991784778812e-11,True,True,0.32055599648831323,0.5215492666695815
advanced,0.0,0.0,0.0,1.0,False,False,0.0,0.0
